date,close,high,low,open,volume
2024-11-13,377.0681,382.0141,374.9624,378.2924,1375437
2024-11-14,363.4055,378.5373,362.1813,377.0192,2024594
2024-11-18,376.3336,389.3596,366.6376,371.1917,10179369
2024-11-19,382.6507,386.8621,370.2124,374.13,3577680
2024-11-21,374.081,381.8672,373.1016,380.9857,1265315
2024-11-22,384.9523,386.5683,373.1016,376.0888,1492331
2024-11-25,397.0969,400.3289,386.3724,387.3029,2408459
2024-11-26,400.1329,401.5531,396.1174,397.3417,1695931
2024-11-27,400.5247,401.8469,394.3545,397.9783,2053834
2024-11-28,398.2721,403.2181,396.6561,401.5531,1903894
2024-11-29,401.2593,402.3366,393.7669,398.2231,909279
2024-12-02,408.262,410.8084,401.2103,401.5531,1336422
2024-12-03,400.7206,407.4295,395.9705,407.4295,3161729
2024-12-04,400.1329,403.0222,398.6638,400.3778,1748914
2024-12-05,396.852,400.8185,393.1792,400.084,1874921
2024-12-06,397.8314,400.2309,393.6689,397.7824,910458
2024-12-09,405.5686,409.3883,397.3417,398.1252,1575373
2024-12-10,407.1357,408.6048,403.9526,407.0377,1495263
2024-12-11,405.0789,408.4089,403.8547,408.4089,641463
2024-12-12,397.7335,408.4089,397.1458,406.597,611815
2024-12-13,402.9242,403.6588,394.4035,397.1458,2084397
2024-12-16,398.2721,405.3728,397.2927,401.5531,1300222
2024-12-17,389.4086,397.7335,387.8415,397.4396,1231648
2024-12-18,388.0374,389.8983,383.875,385.0502,1747136
2024-12-19,387.3029,389.0168,380.0063,380.0063,1354246
2024-12-20,380.2512,389.3106,378.6352,386.8621,1090659
2024-12-23,382.5038,386.7642,375.9908,380.9858,669388
2024-12-24,386.7152,388.2823,377.9496,380.545,753500
2024-12-26,385.491,389.8003,381.9651,386.7152,477431
2024-12-27,388.1843,391.6122,386.0786,386.8621,532267
2024-12-30,386.3724,393.669,383.2873,388.1843,2066494
2024-12-31,387.6456,390.9756,384.0708,384.0708,850534
2025-01-01,367.568,387.6946,366.2948,387.2049,3413601
2025-01-02,364.3849,369.135,361.9854,366.3437,1885894
2025-01-03,359.1942,365.8051,357.1864,364.4339,3973482
2025-01-06,363.3076,374.5707,361.6426,364.4339,5495026
2025-01-07,360.8591,364.8746,356.9415,363.3076,1324219
2025-01-08,361.8875,367.617,358.4596,362.3772,1425353
2025-01-09,362.5731,363.4545,358.7534,361.8875,1415293
2025-01-10,352.3383,362.3282,351.6038,359.5369,1129682
2025-01-13,346.2171,349.3022,341.0753,347.6862,2441696
2025-01-14,349.8409,352.1424,343.3279,343.7686,2406473
2025-01-15,357.3333,358.9493,347.6862,353.3177,1287013
2025-01-16,353.3177,359.2921,351.7507,357.3333,1164981
2025-01-17,354.8848,359.8307,350.7224,355.0807,1186492
2025-01-20,354.8358,357.1864,348.4697,354.8848,775850
2025-01-21,345.8743,355.5214,344.3563,353.6116,1091060
2025-01-22,339.851,345.4336,335.2968,345.3356,1498207
2025-01-23,343.9155,346.5109,334.4643,337.7453,2473272
2025-01-24,332.7014,348.9594,331.3793,342.7892,1292811
2025-01-27,331.1833,331.771,325.6987,325.6987,1027798
2025-01-28,335.7865,337.2556,324.3766,329.8122,1292617
2025-01-29,337.5984,343.3279,336.0803,338.333,1380280
2025-01-30,335.7375,339.2144,332.7504,337.5984,2370446
2025-01-31,336.3252,341.7609,333.1911,335.6396,1761292
2025-02-01,362.3772,365.3154,331.8689,336.4721,2292009
2025-02-03,361.2019,365.0705,352.6811,357.774,2251906
2025-02-04,353.9543,363.8463,350.6734,361.006,1968074
2025-02-05,359.39,360.6143,352.0445,354.542,3161288
2025-02-06,355.1786,360.6632,353.6115,359.439,2066393
2025-02-07,358.3127,359.2921,354.1502,355.4724,802225
2025-02-10,341.7119,359.9287,340.4387,359.9287,2588396
2025-02-11,336.0314,345.3357,333.7298,337.8923,3469655
2025-02-12,332.9952,335.5417,324.7193,332.1138,2316739
2025-02-13,335.1989,342.6423,327.4617,334.9541,5953915
2025-02-14,324.0827,334.7581,319.1368,334.0236,1895948
2025-02-17,325.7477,328.0983,317.9125,325.1601,1974678
2025-02-18,324.4255,326.6781,320.2631,323.2992,1780819
2025-02-19,323.1033,326.5802,316.7862,319.2837,5713908
2025-02-20,328.539,329.6653,316.4924,321.7811,4589175
2025-02-21,326.0905,332.5056,319.9203,329.7143,4204269
2025-02-24,323.7889,326.1884,319.4796,324.8663,2178771
2025-02-25,324.6704,326.923,318.8919,323.2013,2055461
2025-02-27,318.8919,327.3637,315.7579,326.0905,2316594
2025-02-28,314.5336,323.2013,312.7707,321.2425,5491296
2025-03-03,321.0956,321.977,309.6366,314.5336,2168411
2025-03-04,320.41,323.5441,313.1624,317.3249,5613607
2025-03-05,337.5005,340.1448,319.5775,321.1445,3040713
2025-03-06,336.0803,338.7247,332.4076,337.7943,4908083
2025-03-07,337.3536,343.3279,334.2685,335.9335,2524809
2025-03-10,337.8922,342.0547,332.6525,337.0108,2240893
2025-03-11,338.8716,340.8304,330.3508,332.9463,1740068
2025-03-12,350.2816,351.9956,340.7815,342.4464,3496657
2025-03-13,337.1577,351.9956,335.4927,351.6038,2415616
2025-03-17,345.6295,347.0006,338.8227,339.851,3704090
2025-03-18,345.6295,345.6295,345.6295,345.6295,0
2025-03-19,353.0239,356.7946,346.7558,351.163,3063001
2025-03-20,350.1347,355.0317,349.0084,353.4647,1409489
2025-03-21,355.3745,358.7045,348.6656,350.1347,1134168
2025-03-24,354.7379,357.4313,349.5961,355.5214,953758
2025-03-25,351.4079,356.5008,348.9594,355.9622,981855
2025-03-26,352.6812,359.9287,347.2455,350.6244,1492943
2025-03-27,347.4414,352.8281,342.7892,352.3873,2630637
2025-03-28,346.6579,350.3796,344.0135,349.5961,1694266
2025-04-01,338.4799,352.0446,337.1577,349.5471,892954
2025-04-02,332.3097,340.1448,331.2323,338.4799,3590929
2025-04-03,328.6369,333.1422,326.3843,330.155,1776844
2025-04-04,322.5157,329.9102,318.8919,329.9102,1506674
2025-04-07,323.4951,325.0621,294.7987,298.7163,2738907
2025-04-08,325.7967,338.4799,324.2786,338.4799,2086692
2025-04-09,322.026,326.7271,318.8919,323.2992,1403719
2025-04-11,327.2168,333.9257,324.2786,333.9257,883608
2025-04-15,328.6859,332.7014,326.6781,329.0776,3506868
2025-04-16,328.1962,331.0364,325.6008,330.4488,1037134
2025-04-17,325.356,331.6731,324.9642,328.0983,2710533
2025-04-21,332.4566,333.289,323.0543,325.6497,3398288
2025-04-22,345.8743,348.1759,333.338,335.7865,3290230
2025-04-23,336.7169,347.1965,332.1627,347.1965,3969521
2025-04-24,335.8355,338.0881,330.155,337.6964,2530400
2025-04-25,327.9514,338.0881,321.8791,336.9128,2561400
2025-04-28,325.9926,330.6937,324.6214,327.6086,4171642
2025-04-29,329.7632,334.6602,326.1395,328.588,4568829
2025-04-30,330.3509,336.0803,328.0983,333.9746,3408678
2025-05-02,315.7578,330.8896,314.7784,328.6369,4880083
2025-05-05,328.1962,328.7838,316.8841,319.2837,2520825
2025-05-06,321.4873,330.2039,320.6548,330.057,2618254
2025-05-07,326.4823,327.2168,318.5002,318.794,1268033
2025-05-08,319.2347,332.5055,317.8635,326.4822,1289483
2025-05-09,315.2192,319.6265,308.5103,308.5103,1857511
2025-05-12,328.588,329.5673,320.8997,325.8456,1202730
2025-05-13,324.2296,331.2323,322.3688,328.0982,2006779
2025-05-14,324.5724,332.4566,320.7528,327.7555,4525738
2025-05-15,320.6548,327.1188,318.5981,327.1188,5076613
2025-05-16,344.0135,346.1192,331.3302,332.3586,21433849
2025-05-19,344.1114,355.2765,341.9078,349.1553,4119881
2025-05-20,338.6757,345.7764,338.1371,345.7274,1769089
2025-05-21,341.8588,343.132,335.6886,340.8304,2416117
2025-05-22,338.8716,341.2711,337.2556,340.2428,2855538
2025-05-23,344.3073,345.7274,335.9824,338.8716,1288725
2025-05-26,349.596,351.8976,343.3279,346.7068,2735085
2025-05-27,349.645,350.9672,344.8949,350.1347,2310356
2025-05-28,345.3846,350.8693,343.9155,350.6734,1763858
2025-05-29,351.8976,353.4647,343.4748,348.029,2161524
2025-05-30,345.6295,352.7791,343.6217,352.0935,1555328
2025-06-02,347.1476,347.8821,342.7892,345.5805,1371440
2025-06-03,342.0057,348.5677,341.3201,348.5677,1416416
2025-06-04,340.3407,343.6707,338.0881,338.8716,1607181
2025-06-05,343.23,344.2583,339.949,340.3407,1783253
2025-06-06,344.4052,346.1682,341.8098,343.7686,965707
2025-06-09,347.0496,349.0084,345.4336,346.8537,1168088
2025-06-10,347.6862,348.7146,344.8949,348.6656,2238193
2025-06-11,345.2867,349.5471,342.0057,348.127,1098549
2025-06-12,336.668,345.6295,334.6602,344.5521,3146184
2025-06-13,336.8149,337.4026,329.8122,330.0571,1428304
2025-06-16,341.467,342.7892,336.2272,339.5572,1250147
2025-06-17,342.3485,345.1398,340.3897,342.7892,948053
2025-06-18,339.5082,343.2789,337.4025,339.949,1080692
2025-06-19,332.5545,341.3201,331.0364,340.7815,968732
2025-06-20,337.5005,338.284,330.8406,332.9953,1462827
2025-06-23,340.2918,342.2506,332.2607,334.4643,1503552
2025-06-24,340.8794,345.2377,340.0959,343.7686,1648120
2025-06-25,347.5393,348.4208,339.5572,342.8382,2999157
2025-06-26,350.3795,351.3589,343.5727,349.2532,3027870
2025-06-27,349.7919,354.542,348.3228,352.5832,1948776
2025-06-30,347.8331,352.975,346.8048,352.2894,1635521
2025-07-01,344.0135,348.7635,342.8872,347.8331,2077669
2025-07-02,339.949,344.9929,337.3046,344.0135,1370449
2025-07-03,343.0341,347.3434,338.6758,340.8304,1217394
2025-07-04,347.7352,348.9594,342.9361,344.0135,1564163
2025-07-07,344.3073,350.6244,341.9567,347.7352,1110333
2025-07-08,336.3742,344.6991,335.3458,344.3073,2596736
2025-07-09,335.7375,338.6268,334.4643,336.3742,963557
2025-07-10,336.7169,338.6757,334.954,338.6757,1421482
2025-07-11,328.7349,336.8149,326.6292,336.8149,1663456
2025-07-14,331.673,332.9463,327.8534,329.0776,2419646
2025-07-15,344.6011,345.8743,332.5055,332.5055,3626870
2025-07-16,343.0341,345.9723,340.2428,342.7892,1553436
2025-07-17,342.3975,345.1398,340.8304,343.7686,2360948
2025-07-18,336.7659,344.6991,336.1293,343.2789,1798748
2025-07-21,334.1216,337.8433,330.8896,337.8433,1282305
2025-07-22,329.0287,334.4643,326.1884,334.2684,3615808
2025-07-23,332.9952,335.9334,327.9513,330.0081,2419048
2025-07-24,330.1791,335.762,329.2404,335.762,1276774
2025-07-25,325.0409,330.525,324.1022,330.525,1536672
2025-07-28,327.2642,329.9815,322.9165,324.8433,861761
2025-07-29,323.8058,326.6219,321.4343,325.0903,1266410
2025-07-30,320.2979,326.8689,316.9384,326.5231,2089982
2025-07-31,319.1616,321.9283,316.6913,319.1122,1568950
2025-08-01,317.383,321.0885,316.6419,318.7664,1483613
2025-08-04,323.2129,323.7069,315.8514,317.9759,1375813
2025-08-05,319.4086,323.2129,317.2348,323.2129,2867169
2025-08-06,315.2091,320.1991,313.8258,319.1122,2591418
2025-08-07,315.555,318.9146,313.2329,315.2091,2424367
2025-08-08,315.9008,319.1616,311.2567,311.2567,3901406
2025-08-11,314.0728,316.4937,310.2686,314.3198,1767812
2025-08-12,313.5788,317.8277,311.4543,314.0728,1890781
2025-08-13,314.7151,317.2842,312.9859,313.974,1579937
2025-08-14,315.9996,320.3968,315.6044,316.1973,1246603
2025-08-18,321.5825,325.1891,320.298,321.2367,2116903
2025-08-19,325.5844,326.7701,318.6676,321.9283,1781293
2025-08-20,324.448,326.3748,322.2248,325.9796,2274711
2025-08-21,317.0372,326.9677,316.1479,326.9677,2354813
2025-08-22,312.9365,322.126,312.2448,317.0372,2224130
2025-08-25,319.0628,320.1003,312.8377,314.4187,2048986
2025-08-26,321.0884,323.4105,317.4324,319.1616,2854082
2025-08-28,320.1991,322.4224,315.9996,321.0885,1777977
2025-08-29,326.0784,330.4261,319.211,319.211,3392084
2025-09-01,331.1672,332.4024,327.1159,327.2642,1345273
2025-09-02,329.7345,333.4893,327.3136,333.0446,1224187
2025-09-03,328.6475,331.1672,326.7701,331.019,1280428
2025-09-04,323.954,332.9952,322.62,332.9952,1544039
2025-09-05,323.7069,325.8808,321.3849,323.9045,1589492
2025-09-08,323.1141,331.019,321.3849,324.6951,1199089
2025-09-09,318.1241,324.1516,317.1854,324.1022,1939329
2025-09-10,314.0234,321.5331,313.2329,320.6438,3439176
2025-09-11,311.4543,316.3455,310.5156,315.2091,3190684
2025-09-12,310.7132,314.3198,309.8239,314.3198,1571326
2025-09-15,308.1441,315.6538,305.9208,311.4049,3227840
2025-09-16,310.2192,311.2567,307.3042,309.0828,1968239
2025-09-17,311.3061,314.9621,309.9227,311.8495,1842251
2025-09-18,313.0847,315.2091,310.9602,315.2091,1630108
2025-09-19,310.2192,314.1716,309.2805,314.1716,1453920
2025-09-22,305.081,310.7626,303.4506,310.2686,2438609
2025-09-23,301.7214,305.9209,298.9052,305.6244,2832595
2025-09-24,296.4843,302.9565,295.4468,301.4249,2221061
2025-09-25,295.6938,297.3242,291.8896,296.4349,4969829
2025-09-26,289.1229,296.4843,286.8996,295.6938,5080459
2025-09-29,290.1604,292.0872,288.6288,291.3955,2414846
2025-09-30,287.8383,291.9884,282.6013,290.5062,4550209
2025-10-01,289.6169,291.0497,285.8621,287.8877,2403173
2025-10-03,291.692,292.5319,288.8758,291.4944,2633199
2025-10-06,285.6151,294.3105,284.6764,294.3105,2671943
2025-10-07,284.0835,287.6407,282.7001,286.5538,2004020
2025-10-08,282.5519,286.3561,281.6132,286.3561,3609043
2025-10-09,281.1685,284.5281,279.7852,283.9847,4736898
2025-10-10,284.3305,287.0478,281.4155,282.9965,2686053
2025-10-13,281.1191,285.121,280.0322,285.121,2656931
2025-10-14,276.7714,282.9965,274.6964,281.8108,5279016
2025-10-15,284.9728,285.5163,278.0066,278.9453,3813531
2025-10-16,285.1704,287.8877,281.959,286.5538,2388997
2025-10-17,284.0835,287.8383,282.6013,285.5656,1778582
2025-10-20,283.6388,285.6645,282.4531,285.6151,2852534
2025-10-21,285.1704,286.8502,284.1823,286.702,318168
2025-10-23,287.4925,289.5675,284.2317,286.5538,2839746
2025-10-24,289.864,291.0003,285.5656,289.2711,3224313
2025-10-27,288.5794,293.3718,288.036,293.3718,3112928
2025-10-28,286.8502,289.5181,284.0835,289.3205,4533574
2025-10-29,287.5913,289.0241,285.3186,287.9865,2939138
2025-10-30,283.2436,288.2336,281.3168,287.5419,3894928
2025-10-31,279.3405,285.8621,278.5995,283.2436,4577706
2025-11-03,280.7239,282.0084,277.5125,279.3405,3215109
2025-11-04,279.884,282.6013,279.0441,281.6132,2340525
2025-11-06,275.2398,280.9709,273.1154,280.131,2344095
2025-11-07,273.8565,276.475,265.9022,269.7558,6292556
2025-11-10,276.969,282.9471,272.7695,273.8565,5652838
2025-11-11,275.7833,277.6113,270.398,277.0678,2263086
2025-11-12,277.9572,279.2911,274.9928,276.8208,4617350
2025-11-13,275.2892,279.3405,273.066,279.2911,2083208
2025-11-14,272.8683,276.2774,271.0897,275.141,3368751
2025-11-17,271.0898,274.894,270.3981,272.8683,1786175
2025-11-18,269.8546,274.5976,267.9278,271.1886,2176991
2025-11-19,271.0403,271.979,269.5581,270.4969,2675917
2025-11-20,266.7914,272.6707,265.7045,272.6707,2348660
2025-11-21,264.1729,268.0266,262.7896,266.7421,1797104
2025-11-24,262.2461,266.6432,261.8509,264.7658,1795957
2025-11-25,261.9002,262.3943,259.0347,261.8508,2618236
2025-11-26,265.161,268.6194,261.258,262.7896,2945617
2025-11-27,263.4812,266.0503,262.9872,265.8527,1488268
2025-11-28,262.1967,264.6176,261.4556,263.5801,1077848
2025-12-01,259.3312,263.9753,258.4913,262.839,2493309
2025-12-02,257.7996,261.5544,257.1573,260.6157,1457185
2025-12-03,252.8096,258.6889,252.2167,257.7996,4895978
2025-12-04,255.8233,258.6889,252.0685,252.0685,1906296
2025-12-05,257.0091,260.2205,254.44,256.9597,2322140
2025-12-08,249.697,257.4043,248.5607,257.0091,1788625
2025-12-09,250.1417,251.8215,247.1279,249.3018,1704967
2025-12-10,246.9303,253.2542,246.041,250.4875,2069091
2025-12-11,248.5113,249.5488,245.4481,246.9797,1659999
2025-12-12,251.0804,252.2167,247.3256,248.9065,1205605
2025-12-15,250.0429,250.9816,248.2148,250.9816,757160
2025-12-16,249.45,251.6733,248.5607,249.7958,1629647
2025-12-17,246.1892,250.5863,245.0529,250.1417,1706218
2025-12-18,252.612,261.1592,247.0291,247.622,15018319
2025-12-19,252.5626,253.8965,247.7702,252.612,3766354
2025-12-22,256.021,257.5031,253.8965,256.8609,3417868
2025-12-23,256.6139,258.2442,254.3906,257.7996,2771302
2025-12-24,254.3412,257.8984,253.6989,256.9103,1650819
2025-12-26,253.7977,256.1198,252.7108,254.3412,1421040
2025-12-29,252.3649,254.934,250.784,254.8352,1235378
2025-12-30,248.6101,252.3649,247.622,251.9697,2674749
2025-12-31,249.2524,250.5863,244.5588,249.0054,3355281
2026-01-01,246.288,251.1298,245.3493,249.3018,1673462
2026-01-02,249.1042,252.859,244.9541,247.0291,7080593
2026-01-05,256.6632,257.7996,247.5232,249.697,5740102
2026-01-06,256.8115,259.7264,254.2424,257.4043,3372581
2026-01-07,260.3193,262.7401,256.2186,257.8984,3737947
2026-01-08,254.5882,262.839,253.6989,260.8627,2677012
2026-01-09,249.3512,255.9716,247.0291,254.687,3912266
2026-01-12,248.1654,249.8452,244.0648,248.5113,2834350
2026-01-13,249.7958,250.8828,245.2011,248.9065,2258568
2026-01-14,251.6732,252.9578,248.6595,249.5982,1388641
2026-01-15,251.6732,251.6732,251.6732,251.6732,0
2026-01-16,248.2148,253.8471,247.0291,251.9697,1899361
2026-01-19,240.3099,248.3631,239.8159,248.2149,2400212
2026-01-20,230.824,241.8415,229.2924,240.4581,5202703
2026-01-21,229.4901,232.7508,226.1305,230.1323,4280088
2026-01-22,226.9209,233.5907,226.2787,233.1461,3048234
2026-01-23,222.6226,230.0335,221.0911,230.0335,3859058
2026-01-27,219.5101,223.3143,216.8916,223.3143,4314040
2026-01-28,222.7214,224.4506,219.5101,220.0535,4143799
2026-01-29,219.0654,224.2036,216.1011,224.2036,3914866
2026-01-30,218.8184,220.1029,214.8165,216.9904,4231737
2026-02-02,222.7313,224.3024,216.5457,223.7787,3743357
2026-02-03,229.9248,236.644,226.753,232.1777,4511140
2026-02-04,241.1597,243.7683,229.3418,230.0434,9631168
2026-02-05,243.6992,244.8948,238.8376,242.8197,3565459
2026-02-06,242.1182,244.6082,239.1143,244.0153,2074085
2026-02-09,259.7956,260.6651,240.1617,242.1478,8983263
2026-02-10,258.5505,266.0009,257.5031,260.8627,5938522
2026-02-11,262.8785,264.0741,257.9676,258.8766,2779422
2026-02-12,261.258,264.5089,258.0862,261.8509,3035533
2026-02-13,264.3409,266.6432,252.859,260.8628,4504154
2026-02-16,269.4198,270.9909,261.9497,264.8152,5983086
2026-02-17,267.3349,271.5048,264.8152,269.7558,4061488
2026-02-18,269.2815,269.825,264.3212,267.7796,1942687
2026-02-19,262.7401,269.7558,261.8508,269.7558,1943913
2026-02-20,262.2757,268.3428,261.0604,261.8508,1924449
2026-02-23,262.3054,266.2974,260.2205,266.2974,1685792
2026-02-24,259.3114,261.7619,256.0308,260.4675,1381957
2026-02-25,260.1711,264.42,257.4636,260.8627,1630052
2026-02-26,259.3806,262.256,257.1079,260.171,1643704
2026-02-27,254.7858,260.596,252.7602,259.677,2045333
2026-03-02,250.4381,253.3531,243.6695,244.0648,3967184
2026-03-04,242.4344,245.2999,240.2605,245.0529,2658747
2026-03-05,247.1279,248.116,238.6795,244.2624,1376955
2026-03-06,245.0529,248.6595,244.1142,246.9303,961019
2026-03-09,238.4325,241.4463,235.9128,236.308,1559512
2026-03-10,242.3356,244.1636,239.223,240.1617,1169549
2026-03-11,244.5588,246.5351,242.3356,242.879,1348965
2026-03-12,244.2624,251.4756,240.1123,245.0529,2440630
2026-03-13,243.3237,244.9047,236.1598,243.6695,3034305
2026-03-16,244.213,245.8434,237.2962,243.0766,1630711
